system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,3.1192062E-7,0,1.1470539E-7,-399.7998,-0.08488423,-288,6064.4,0.3953291,1643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.910468454741849,41.51858039457648]}"
1,1.0137661E-7,0,-2.3100391E-8,-124.59961,-0.13632342,26,8862.8,0.13493866,2498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.059344375312385,41.54151197052747]}"
2,1.5363261E-7,0,1.6449627E-7,-1749.0005,0.029496074,-673,9663.4,0.32556105,2274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.039445451870916,41.52513442080339]}"
3,3.7054104E-7,0,1.5979911E-6,-3493.4,0.08608255,-835,5642.4,0.3962963,1508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.934815526385122,41.30506301362509]}"
4,7.4322617E-7,0,1.4407545E-5,-4101.6,-0.073447645,-866,3612.0,0.5192308,1106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.9628590757793765,41.27667499023658]}"
5,2.1201096E-7,0,4.8670756E-10,1775.7998,0.042217992,57,7670.0,0.06066536,1626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.957503955001101,41.2755457051182]}"
6,3.9268636E-7,0,3.776603E-7,-2582.0,-0.0025942922,-443,4270.4,0.5956679,1547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.973679938015496,41.271907859090426]}"
7,3.045801E-7,0,9.410587E-7,-2750.8,0.19095731,-790,5359.6,0.383201,1655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.957930860777369,41.27122591575432]}"
8,2.0208974E-7,0,-6.4066285E-8,1874.5996,0.076156974,492,8596.2,0.40301576,2047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.869588426740442,41.24309927914652]}"
9,3.8905756E-7,0,2.3967482E-7,-2477.7998,-0.040519655,-334,5433.4,0.41941655,1484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.973678569560027,41.22623902739982]}"
10,2.4129434E-7,0,-4.9442477E-8,1327.8003,0.078079715,293,5940.8,0.2216293,1717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.869579635823774,41.222832002428994]}"
11,1.3759413E-7,0,-2.642853E-8,1440.7998,0.01046817,263,7859.8,0.15635784,2178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.886141669657168,41.21704835263933]}"
12,3.168022E-7,0,7.932651E-7,-2471.4,0.18956691,-686,6409.4,0.33865547,1593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.944842432643252,41.21652031094377]}"
13,3.895439E-7,0,1.1045211E-6,-3670.8003,0.24605536,-726,4531.2,0.55062973,1539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.035068043936523,41.238119565372116]}"
14,1.9377893E-7,0,4.588926E-7,-3252.8,0.0506711,-870,7097.6,0.27225807,1972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.028674901596277,41.210502202296986]}"
15,1.6220535E-7,0,2.732777E-7,-1907.7998,-0.08122727,-934,7501.0,0.39143732,2275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.05882719353873,41.203996782137864]}"
16,1.473958E-7,0,9.354737E-8,-3728.2002,0.024556264,-415,7365.2,0.11669855,2043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.047943929183576,41.18958497431004]}"
17,2.1036507E-7,0,1.8121852E-8,166.6001,0.056812197,-56,6060.8,0.4972836,2067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.473654479002533,41.72195690179532]}"
18,2.1949681E-7,0,1.6246649E-7,-974.3999,0.06466058,-450,7080.0,0.43021998,1983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.43503694662111,41.14511315557614]}"
19,2.1539218E-7,0,2.2251193E-7,-2595.1997,0.07551953,-566,6911.4,0.4305109,2002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.441851976092684,41.14244399166413]}"
20,2.2412183E-7,0,1.2386135E-7,-738.0,0.053709656,-352,7262.4,0.3881508,1933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.446510389351614,41.14111527483348]}"
21,2.5726075E-7,0,2.7431895E-8,-2338.4001,0.32162863,-4,5857.6,0.4969964,1869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.476923302804124,41.09261416518457]}"
22,3.073087E-7,0,1.415778E-7,-2318.8,0.17097843,-271,4488.0,0.6058662,1752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.460878174301222,41.08902707082978]}"
23,2.5464058E-7,0,5.466009E-8,-2163.0,0.16447866,-123,6070.6,0.52254426,1891,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.458788329343342,41.082531478331305]}"
24,2.6525112E-7,0,4.4092644E-7,-2591.4,0.068517864,-691,6509.0,0.48582995,1835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.486303050898746,41.08076573503419]}"
25,2.4589775E-7,0,-2.408541E-9,-1784.8003,0.11042154,91,6948.2,0.3154412,1789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.923981053745689,41.37549095895803]}"
26,1.5830501E-7,0,2.0841235E-7,-2985.8003,0.103316605,-667,8609.4,0.25304702,2159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.8161204785857015,41.368757074920374]}"
27,1.1687569E-7,0,1.0845229E-7,-2579.7998,0.084359586,-474,8466.8,0.021276595,2112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.8247327607357295,41.36857513997673]}"
28,4.3218424E-7,0,1.0541441E-6,-4084.6,0.026382625,-646,5773.2,0.4361055,1416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.879804996277709,41.35750485347678]}"
29,2.6787123E-7,0,-9.2636256E-8,-1000.3999,0.09536201,475,4927.8,0.6290532,1884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.9287285931565465,41.34851285215205]}"
30,1.814398E-7,0,-2.2004244E-8,-218.59961,-0.030080497,72,6901.8,0.093163945,1807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.868210324058722,41.34360998128763]}"
31,1.5388088E-7,0,2.1188691E-7,-1630.0,0.15438618,-576,7662.8,0.13062938,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.721244417816366,41.396114951523984]}"
32,1.2929281E-7,0,6.33147E-8,-858.4004,0.25533164,-64,10919.0,0.064968154,2090,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.500411275781284,41.29242334286097]}"
33,2.404037E-7,0,1.3369203E-8,-1755.0,0.07538527,-22,5651.6,0.53061223,1950,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.527349135593346,41.283349194718284]}"
34,2.9683605E-7,0,4.788083E-8,-3003.7998,0.19971162,-78,5172.8,0.55575144,1765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.530244108585359,41.27930755301366]}"
