system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,3.9441687E-7,1,1.7387191E-7,-1612.2,-0.034358144,-168,459.0,-0.27590972,786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.43503694662111,41.14511315557614]}"
1,2.906078E-7,1,4.4171543E-8,-2157.6,-0.07974048,-181,1401.4,-0.2034228,1024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.441851976092684,41.14244399166413]}"
2,2.263141E-7,1,1.2902073E-7,-2552.0,-0.13099347,-405,1256.8,-0.2226051,1128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.446510389351614,41.14111527483348]}"
3,1.0573584E-6,1,2.2321933E-7,-499.40002,0.04678306,-6,-573.6,-0.33844972,431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.476923302804124,41.09261416518457]}"
4,5.839869E-7,1,1.9418877E-7,-870.6,0.0038260818,-85,97.8,-0.26074818,662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.460878174301222,41.08902707082978]}"
5,2.5392472E-7,1,2.7699684E-7,-2074.2,0.06214805,-241,1174.4,-0.26067746,1004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.458788329343342,41.082531478331305]}"
6,4.1693073E-7,1,2.2146213E-7,-1290.2,-0.024633527,-162,-403.2,-0.31546193,715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.486303050898746,41.08076573503419]}"
7,2.8772783E-7,1,1.7091125E-7,-2112.8,-0.062655956,-245,136.6,-0.34054488,823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.923981053745689,41.37549095895803]}"
8,3.6606943E-7,1,5.307251E-8,-1184.2,-0.05381137,-110,-36.4,-0.38032037,677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.8161204785857015,41.368757074920374]}"
9,1.3686325E-7,1,-5.815565E-9,51.199707,-0.005191788,24,5536.6,-0.14943136,1608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.8247327607357295,41.36857513997673]}"
10,9.1764224E-7,1,-1.4207927E-7,-964.6,-0.09890321,-44,31.8,-0.25734267,531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.879804996277709,41.35750485347678]}"
11,4.3844565E-7,1,1.5336113E-7,-530.4,0.022601545,-65,-524.0,-0.3659023,636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.9287285931565465,41.34851285215205]}"
12,1.3598698E-7,1,5.799592E-8,-1373.2001,-0.06285781,-340,1708.8,-0.2565276,1381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.868210324058722,41.34360998128763]}"
13,1.1338645E-6,1,-4.0635462E-7,-626.59985,0.05961804,231,3861.4,0.23183925,797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.035068043936523,41.238119565372116]}"
14,2.8390707E-7,1,2.8687396E-8,-1306.2,-0.07143369,-142,-313.0,-0.32831088,847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.028674901596277,41.210502202296986]}"
15,2.960917E-7,1,8.235247E-8,-409.8,-0.049008965,-170,320.8,-0.27062574,915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.05882719353873,41.203996782137864]}"
16,1.6636464E-7,1,4.863992E-8,-866.19995,0.02066794,-100,1497.2,-0.31639445,1130,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.047943929183576,41.18958497431004]}"
