system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,1.7484369E-7,1,2.622213E-7,-778.6,0.10924192,-319,1282.6,-0.25182927,1227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.118191159428575,41.525224785202056]}"
1,4.1538598E-7,1,-1.5040607E-7,184.80005,0.0012983531,219,2330.2,-0.19981413,861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.021282104051702,41.058026799373216]}"
2,3.5776952E-7,1,-1.5185257E-7,-1750.8,-0.1050425,153,3211.6,-0.1037415,1054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.129111667480574,41.05727074508261]}"
3,2.2231971E-7,1,1.6924325E-7,-1878.6,0.026203007,-179,-480.4,-0.38428572,862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.18428402155896,41.04173028139324]}"
4,2.9503772E-7,1,2.0087495E-7,-1502.4,0.07951831,-153,2283.8,-0.17706709,1055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.167707162404573,41.139168028256734]}"
5,2.7109505E-7,1,-6.586238E-8,-2089.4,-0.018407494,140,4329.4,-0.1431759,1152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.188885306979826,41.13202269798557]}"
6,2.7159984E-7,1,-7.0682674E-8,-2075.6,-0.10481566,-17,4312.6,-0.20617005,1055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.998324915605076,41.04161518224534]}"
7,2.1414515E-7,1,1.04992225E-7,-2226.4001,0.15445018,40,2465.8,-0.31754205,994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.108389224574891,41.03197990460279]}"
8,2.3551041E-7,1,1.9231572E-7,873.80005,0.4460797,291,144.6,-0.3578717,881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.31188461655858,41.874579829414024]}"
9,2.1078016E-7,1,3.6766625E-7,-37.799988,0.36162892,27,-779.2,-0.38906303,877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.312029477073741,41.86107049184978]}"
10,1.2861426E-7,1,8.338709E-8,-684.19995,0.076482415,-160,2682.2,-0.2964824,1330,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.321073825624326,41.86031370030938]}"
11,1.2285585E-7,1,5.2515574E-8,-829.1997,0.08174039,-120,6335.4,-0.16373682,1665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.248249936480846,41.844188255275256]}"
12,4.407151E-7,1,-6.102678E-8,-814.6,0.0896422,175,1753.2,-0.2698104,751,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.212180091326742,41.8388126158253]}"
13,3.6037522E-7,1,1.8297834E-7,304.80002,0.23547103,138,-720.2,-0.4138723,638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.270006614383785,41.83757347038042]}"
14,2.938985E-7,1,9.193761E-8,-1601.6,0.19956505,164,759.8,-0.38955164,742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296250392502102,41.78369593538422]}"
15,1.8158619E-7,1,1.7486124E-7,-308.2,0.17385693,-35,-528.0,-0.39113554,941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296773746408277,41.768837685399134]}"
