system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,1.576204E-7,0,-3.9776253E-8,559.0,0.15876813,579,4508.0,-0.02780118,1731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.300659553319749,41.44325087715266]}"
1,1.2379364E-7,0,-4.8407806E-8,2901.0,0.07194878,697,3296.0,-0.111389235,1775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.29348339211914,41.442666580820394]}"
2,1.5651267E-7,0,-7.498655E-8,1817.2,0.006965682,779,4075.8,0.11630527,1982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.303213732635394,41.439483241822266]}"
